"location","type","quantile","target_end_date","target","value","forecast_date"
"GM","quantile",0.01,"2021-08-14","1 wk ahead inc death",128,"2021-08-09"
"GM","quantile",0.025,"2021-08-14","1 wk ahead inc death",149,"2021-08-09"
"GM","quantile",0.05,"2021-08-14","1 wk ahead inc death",162,"2021-08-09"
"GM","quantile",0.1,"2021-08-14","1 wk ahead inc death",183,"2021-08-09"
"GM","quantile",0.15,"2021-08-14","1 wk ahead inc death",197,"2021-08-09"
"GM","quantile",0.2,"2021-08-14","1 wk ahead inc death",209,"2021-08-09"
"GM","quantile",0.25,"2021-08-14","1 wk ahead inc death",225,"2021-08-09"
"GM","quantile",0.3,"2021-08-14","1 wk ahead inc death",234,"2021-08-09"
"GM","quantile",0.35,"2021-08-14","1 wk ahead inc death",243,"2021-08-09"
"GM","quantile",0.4,"2021-08-14","1 wk ahead inc death",254,"2021-08-09"
"GM","quantile",0.45,"2021-08-14","1 wk ahead inc death",265,"2021-08-09"
"GM","quantile",0.5,"2021-08-14","1 wk ahead inc death",275,"2021-08-09"
"GM","quantile",0.55,"2021-08-14","1 wk ahead inc death",285,"2021-08-09"
"GM","quantile",0.6,"2021-08-14","1 wk ahead inc death",298,"2021-08-09"
"GM","quantile",0.65,"2021-08-14","1 wk ahead inc death",310,"2021-08-09"
"GM","quantile",0.7,"2021-08-14","1 wk ahead inc death",328,"2021-08-09"
"GM","quantile",0.75,"2021-08-14","1 wk ahead inc death",345,"2021-08-09"
"GM","quantile",0.8,"2021-08-14","1 wk ahead inc death",369,"2021-08-09"
"GM","quantile",0.85,"2021-08-14","1 wk ahead inc death",394,"2021-08-09"
"GM","quantile",0.9,"2021-08-14","1 wk ahead inc death",431,"2021-08-09"
"GM","quantile",0.95,"2021-08-14","1 wk ahead inc death",478,"2021-08-09"
"GM","quantile",0.975,"2021-08-14","1 wk ahead inc death",533,"2021-08-09"
"GM","quantile",0.99,"2021-08-14","1 wk ahead inc death",584,"2021-08-09"
"GM","quantile",0.01,"2021-08-21","2 wk ahead inc death",144,"2021-08-09"
"GM","quantile",0.025,"2021-08-21","2 wk ahead inc death",176,"2021-08-09"
"GM","quantile",0.05,"2021-08-21","2 wk ahead inc death",200,"2021-08-09"
"GM","quantile",0.1,"2021-08-21","2 wk ahead inc death",237,"2021-08-09"
"GM","quantile",0.15,"2021-08-21","2 wk ahead inc death",259,"2021-08-09"
"GM","quantile",0.2,"2021-08-21","2 wk ahead inc death",278,"2021-08-09"
"GM","quantile",0.25,"2021-08-21","2 wk ahead inc death",294,"2021-08-09"
"GM","quantile",0.3,"2021-08-21","2 wk ahead inc death",308,"2021-08-09"
"GM","quantile",0.35,"2021-08-21","2 wk ahead inc death",326,"2021-08-09"
"GM","quantile",0.4,"2021-08-21","2 wk ahead inc death",342,"2021-08-09"
"GM","quantile",0.45,"2021-08-21","2 wk ahead inc death",359,"2021-08-09"
"GM","quantile",0.5,"2021-08-21","2 wk ahead inc death",375,"2021-08-09"
"GM","quantile",0.55,"2021-08-21","2 wk ahead inc death",389,"2021-08-09"
"GM","quantile",0.6,"2021-08-21","2 wk ahead inc death",408,"2021-08-09"
