"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,1187,"2022-01-15","2022-01-10"
"PL","1 wk ahead inc death","quantile",0.025,350,"2022-01-15","2022-01-10"
"PL","1 wk ahead inc death","quantile",0.25,914,"2022-01-15","2022-01-10"
"PL","1 wk ahead inc death","quantile",0.75,1509,"2022-01-15","2022-01-10"
"PL","1 wk ahead inc death","quantile",0.975,4329,"2022-01-15","2022-01-10"
"PL","2 wk ahead inc death","point",NA,706,"2022-01-22","2022-01-10"
"PL","2 wk ahead inc death","quantile",0.025,59,"2022-01-22","2022-01-10"
"PL","2 wk ahead inc death","quantile",0.25,393,"2022-01-22","2022-01-10"
"PL","2 wk ahead inc death","quantile",0.75,1044,"2022-01-22","2022-01-10"
"PL","2 wk ahead inc death","quantile",0.975,5471,"2022-01-22","2022-01-10"
