"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.01,66,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.025,69,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.05,71,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.1,74,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.15,75,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.2,77,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.25,78,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.3,79,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.35,80,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.4,82,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.45,83,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.5,84,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.55,85,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.6,86,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.65,87,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.7,88,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.75,89,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.8,91,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.85,93,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.9,95,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.95,99,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.975,102,"2021-07-05"
"1 wk ahead inc death","2021-07-10","PL","quantile",0.99,106,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.01,43,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.025,45,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.05,48,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.1,51,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.15,53,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.2,55,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.25,56,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.3,58,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.35,59,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.4,60,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.45,62,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.5,63,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.55,64,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.6,66,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.65,67,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.7,69,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.75,71,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.8,73,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.85,75,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.9,78,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.95,83,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.975,88,"2021-07-05"
"2 wk ahead inc death","2021-07-17","PL","quantile",0.99,93,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.01,27,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.025,29,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.05,32,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.1,34,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.15,36,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.2,38,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.25,40,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.3,41,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.35,42,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.4,44,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.45,45,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.5,46,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.55,48,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.6,49,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.65,51,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.7,52,"2021-07-05"
"3 wk ahead inc death","2021-07-24","PL","quantile",0.75,54,"2021-07-05"
