week,reporting_labs,VOC_count,VOC_proportion,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,P.1 _count,P.1_proportion,B.1.617_count,B.1.617_proportion
2,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
3,17.0,122.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,,
4,36.0,1537.0,0.0,1441.0,0.0,95.0,0.0,1.0,0.0,,
5,56.0,2105.0,0.1,1931.0,0.1,174.0,0.0,0.0,0.0,,
6,59.0,6380.0,0.2,5978.0,0.2,385.0,0.0,17.0,0.0,,
7,69.0,7935.0,0.3,7698.0,0.3,210.0,0.0,27.0,0.0,,
8,83.0,18763.0,0.4,18224.0,0.4,502.0,0.0,37.0,0.0,,
9,106.0,20081.0,0.6,19687.0,0.5,379.0,0.0,15.0,0.0,0.0,0.0
10,123.0,36776.0,0.6,36224.0,0.6,540.0,0.0,12.0,0.0,0.0,0.0
11,142.0,45209.0,0.7,44580.0,0.7,604.0,0.0,25.0,0.0,0.0,0.0
12,130.0,69874.0,0.8,69057.0,0.8,759.0,0.0,58.0,0.0,0.0,0.0
13,134.0,62965.0,0.8,62318.0,0.8,589.0,0.0,58.0,0.0,0.0,0.0
14,135.0,67330.0,0.9,66585.0,0.9,705.0,0.0,40.0,0.0,0.0,0.0
15,141.0,97729.0,0.9,96855.0,0.9,821.0,0.0,53.0,0.0,0.0,0.0
16,141.0,90795.0,0.9,89999.0,0.9,719.0,0.0,71.0,0.0,6.0,0.0
17,141.0,78377.0,0.9,77727.0,0.9,561.0,0.0,62.0,0.0,28.0,0.0
18,140.0,70310.0,0.9,69580.0,0.9,544.0,0.0,111.0,0.0,49.0,0.0
19,140.0,49878.0,0.9,49410.0,0.9,334.0,0.0,73.0,0.0,61.0,0.0
20,139.0,39894.0,0.9,39431.0,0.9,237.0,0.0,132.0,0.0,94.0,0.0
21,134.0,22264.0,0.9,21785.0,0.9,197.0,0.0,57.0,0.0,225.0,0.0
22,132.0,17133.0,0.9,16617.0,0.9,89.0,0.0,65.0,0.0,362.0,0.0
23,,,,,,,,,,,
24,132.0,15722.0,0.9,14149.0,0.8,127.0,0.0,80.0,0.0,1366.0,0.1
25,122.0,4516.0,0.8,3018.0,0.5,42.0,0.0,51.0,0.0,1405.0,0.3
26,112.0,3513.0,0.9,1527.0,0.4,25.0,0.0,23.0,0.0,1938.0,0.5
