"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,92,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.025,103,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.05,110,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.1,126,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.15,135,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.2,143,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.25,152,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.3,160,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.35,165,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.4,171,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.45,179,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.5,187,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
NA,187,"point","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.55,192,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.6,200,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.65,207,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.7,214,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.75,222,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.8,233,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.85,246,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.9,267,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.95,293,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.975,313,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.99,351,"quantile","GM","1 wk ahead inc death","2021-08-29","2021-09-04"
0.01,102,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.025,126,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.05,133,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.1,151,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.15,165,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.2,174,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.25,190,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.3,199,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.35,207,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.4,217,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.45,226,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.5,235,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
NA,235,"point","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.55,244,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.6,253,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.65,262,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.7,278,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.75,293,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.8,313,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.85,328,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.9,350,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.95,400,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.975,456,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.99,521,"quantile","GM","2 wk ahead inc death","2021-08-29","2021-09-11"
0.01,115,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.025,134,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.05,154,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.1,177,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.15,199,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.2,214,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.25,229,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.3,242,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.35,252,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.4,264,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.45,281,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.5,296,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
NA,296,"point","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.55,309,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.6,327,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.65,343,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.7,360,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.75,381,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.8,409,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.85,437,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.9,482,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.95,558,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.975,660,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.99,756,"quantile","GM","3 wk ahead inc death","2021-08-29","2021-09-18"
0.01,132,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.025,159,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.05,181,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.1,211,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.15,235,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.2,255,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.25,272,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.3,297,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.35,313,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.4,332,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.45,352,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.5,373,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
NA,373,"point","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.55,394,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.6,419,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.65,444,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.7,468,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.75,517,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.8,571,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.85,635,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.9,724,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.95,846,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.975,1052,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
0.99,1232,"quantile","GM","4 wk ahead inc death","2021-08-29","2021-09-25"
