"quantile","value","type","location","target","forecast_date","target_end_date"
0.01,7,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.025,8,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.05,10,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.1,12,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.15,13,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.2,14,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.25,15,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.3,16,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.35,17,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.45,18,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.5,19,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
NA,19,"point","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.55,20,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.6,21,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.65,22,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.7,24,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.75,25,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.8,26,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.85,28,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.9,30,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.95,33,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.975,37,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.99,41,"quantile","PL","1 wk ahead inc death","2021-08-15","2021-08-21"
0.01,8,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.025,9,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.05,11,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.1,13,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.15,15,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.2,16,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.25,17,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.3,18,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.35,19,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.45,21,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.5,22,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
NA,22,"point","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.55,23,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.6,24,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.65,25,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.7,26,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.75,27,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.8,29,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.85,31,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.9,34,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.95,37,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.975,41,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.99,45,"quantile","PL","2 wk ahead inc death","2021-08-15","2021-08-28"
0.01,9,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.025,11,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.05,13,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.1,15,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.15,16,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.2,18,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.25,19,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.3,20,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.35,21,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.45,23,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.5,24,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
NA,24,"point","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
0.55,26,"quantile","PL","3 wk ahead inc death","2021-08-15","2021-09-04"
