"location","target","type","quantile","target_end_date","forecast_date","value"
"PL","1 wk ahead inc death","point",NA,"2021-07-31","2021-07-26",38
"PL","1 wk ahead inc death","quantile",0.01,"2021-07-31","2021-07-26",20
"PL","1 wk ahead inc death","quantile",0.025,"2021-07-31","2021-07-26",22
"PL","1 wk ahead inc death","quantile",0.05,"2021-07-31","2021-07-26",25
"PL","1 wk ahead inc death","quantile",0.1,"2021-07-31","2021-07-26",27
"PL","1 wk ahead inc death","quantile",0.15,"2021-07-31","2021-07-26",29
"PL","1 wk ahead inc death","quantile",0.2,"2021-07-31","2021-07-26",31
"PL","1 wk ahead inc death","quantile",0.25,"2021-07-31","2021-07-26",32
"PL","1 wk ahead inc death","quantile",0.3,"2021-07-31","2021-07-26",33
"PL","1 wk ahead inc death","quantile",0.35,"2021-07-31","2021-07-26",35
"PL","1 wk ahead inc death","quantile",0.4,"2021-07-31","2021-07-26",36
"PL","1 wk ahead inc death","quantile",0.45,"2021-07-31","2021-07-26",37
"PL","1 wk ahead inc death","quantile",0.5,"2021-07-31","2021-07-26",38
"PL","1 wk ahead inc death","quantile",0.55,"2021-07-31","2021-07-26",39
"PL","1 wk ahead inc death","quantile",0.6,"2021-07-31","2021-07-26",40
"PL","1 wk ahead inc death","quantile",0.65,"2021-07-31","2021-07-26",42
"PL","1 wk ahead inc death","quantile",0.7,"2021-07-31","2021-07-26",43
"PL","1 wk ahead inc death","quantile",0.75,"2021-07-31","2021-07-26",44
"PL","1 wk ahead inc death","quantile",0.8,"2021-07-31","2021-07-26",45
"PL","1 wk ahead inc death","quantile",0.85,"2021-07-31","2021-07-26",48
"PL","1 wk ahead inc death","quantile",0.9,"2021-07-31","2021-07-26",50
"PL","1 wk ahead inc death","quantile",0.95,"2021-07-31","2021-07-26",54
"PL","1 wk ahead inc death","quantile",0.975,"2021-07-31","2021-07-26",57
"PL","1 wk ahead inc death","quantile",0.99,"2021-07-31","2021-07-26",62
"PL","2 wk ahead inc death","point",NA,"2021-08-07","2021-07-26",43
"PL","2 wk ahead inc death","quantile",0.01,"2021-08-07","2021-07-26",22
"PL","2 wk ahead inc death","quantile",0.025,"2021-08-07","2021-07-26",25
"PL","2 wk ahead inc death","quantile",0.05,"2021-08-07","2021-07-26",28
"PL","2 wk ahead inc death","quantile",0.1,"2021-08-07","2021-07-26",31
"PL","2 wk ahead inc death","quantile",0.15,"2021-08-07","2021-07-26",33
"PL","2 wk ahead inc death","quantile",0.2,"2021-08-07","2021-07-26",35
"PL","2 wk ahead inc death","quantile",0.25,"2021-08-07","2021-07-26",37
"PL","2 wk ahead inc death","quantile",0.3,"2021-08-07","2021-07-26",38
"PL","2 wk ahead inc death","quantile",0.35,"2021-08-07","2021-07-26",39
"PL","2 wk ahead inc death","quantile",0.4,"2021-08-07","2021-07-26",41
"PL","2 wk ahead inc death","quantile",0.45,"2021-08-07","2021-07-26",42
"PL","2 wk ahead inc death","quantile",0.5,"2021-08-07","2021-07-26",43
"PL","2 wk ahead inc death","quantile",0.55,"2021-08-07","2021-07-26",45
"PL","2 wk ahead inc death","quantile",0.6,"2021-08-07","2021-07-26",46
"PL","2 wk ahead inc death","quantile",0.65,"2021-08-07","2021-07-26",48
"PL","2 wk ahead inc death","quantile",0.7,"2021-08-07","2021-07-26",49
"PL","2 wk ahead inc death","quantile",0.75,"2021-08-07","2021-07-26",51
"PL","2 wk ahead inc death","quantile",0.8,"2021-08-07","2021-07-26",54
"PL","2 wk ahead inc death","quantile",0.85,"2021-08-07","2021-07-26",56
"PL","2 wk ahead inc death","quantile",0.9,"2021-08-07","2021-07-26",59
"PL","2 wk ahead inc death","quantile",0.95,"2021-08-07","2021-07-26",65
"PL","2 wk ahead inc death","quantile",0.975,"2021-08-07","2021-07-26",71
"PL","2 wk ahead inc death","quantile",0.99,"2021-08-07","2021-07-26",77
"PL","3 wk ahead inc death","point",NA,"2021-08-14","2021-07-26",52
"PL","3 wk ahead inc death","quantile",0.01,"2021-08-14","2021-07-26",24
"PL","3 wk ahead inc death","quantile",0.025,"2021-08-14","2021-07-26",27
"PL","3 wk ahead inc death","quantile",0.05,"2021-08-14","2021-07-26",30
"PL","3 wk ahead inc death","quantile",0.1,"2021-08-14","2021-07-26",34
"PL","3 wk ahead inc death","quantile",0.15,"2021-08-14","2021-07-26",37
"PL","3 wk ahead inc death","quantile",0.2,"2021-08-14","2021-07-26",40
"PL","3 wk ahead inc death","quantile",0.25,"2021-08-14","2021-07-26",41
"PL","3 wk ahead inc death","quantile",0.3,"2021-08-14","2021-07-26",44
"PL","3 wk ahead inc death","quantile",0.35,"2021-08-14","2021-07-26",45
"PL","3 wk ahead inc death","quantile",0.4,"2021-08-14","2021-07-26",47
"PL","3 wk ahead inc death","quantile",0.45,"2021-08-14","2021-07-26",50
"PL","3 wk ahead inc death","quantile",0.5,"2021-08-14","2021-07-26",52
"PL","3 wk ahead inc death","quantile",0.55,"2021-08-14","2021-07-26",54
"PL","3 wk ahead inc death","quantile",0.6,"2021-08-14","2021-07-26",56
"PL","3 wk ahead inc death","quantile",0.65,"2021-08-14","2021-07-26",59
"PL","3 wk ahead inc death","quantile",0.7,"2021-08-14","2021-07-26",62
"PL","3 wk ahead inc death","quantile",0.75,"2021-08-14","2021-07-26",65
"PL","3 wk ahead inc death","quantile",0.8,"2021-08-14","2021-07-26",69
"PL","3 wk ahead inc death","quantile",0.85,"2021-08-14","2021-07-26",74
"PL","3 wk ahead inc death","quantile",0.9,"2021-08-14","2021-07-26",81
"PL","3 wk ahead inc death","quantile",0.95,"2021-08-14","2021-07-26",93
"PL","3 wk ahead inc death","quantile",0.975,"2021-08-14","2021-07-26",101
"PL","3 wk ahead inc death","quantile",0.99,"2021-08-14","2021-07-26",118
"PL","4 wk ahead inc death","point",NA,"2021-08-21","2021-07-26",63
"PL","4 wk ahead inc death","quantile",0.01,"2021-08-21","2021-07-26",21
"PL","4 wk ahead inc death","quantile",0.025,"2021-08-21","2021-07-26",24
"PL","4 wk ahead inc death","quantile",0.05,"2021-08-21","2021-07-26",29
"PL","4 wk ahead inc death","quantile",0.1,"2021-08-21","2021-07-26",35
"PL","4 wk ahead inc death","quantile",0.15,"2021-08-21","2021-07-26",39
"PL","4 wk ahead inc death","quantile",0.2,"2021-08-21","2021-07-26",43
"PL","4 wk ahead inc death","quantile",0.25,"2021-08-21","2021-07-26",46
"PL","4 wk ahead inc death","quantile",0.3,"2021-08-21","2021-07-26",49
"PL","4 wk ahead inc death","quantile",0.35,"2021-08-21","2021-07-26",52
"PL","4 wk ahead inc death","quantile",0.4,"2021-08-21","2021-07-26",55
"PL","4 wk ahead inc death","quantile",0.45,"2021-08-21","2021-07-26",59
"PL","4 wk ahead inc death","quantile",0.5,"2021-08-21","2021-07-26",63
"PL","4 wk ahead inc death","quantile",0.55,"2021-08-21","2021-07-26",67
"PL","4 wk ahead inc death","quantile",0.6,"2021-08-21","2021-07-26",71
"PL","4 wk ahead inc death","quantile",0.65,"2021-08-21","2021-07-26",76
"PL","4 wk ahead inc death","quantile",0.7,"2021-08-21","2021-07-26",81
"PL","4 wk ahead inc death","quantile",0.75,"2021-08-21","2021-07-26",87
"PL","4 wk ahead inc death","quantile",0.8,"2021-08-21","2021-07-26",98
"PL","4 wk ahead inc death","quantile",0.85,"2021-08-21","2021-07-26",108
"PL","4 wk ahead inc death","quantile",0.9,"2021-08-21","2021-07-26",121
"PL","4 wk ahead inc death","quantile",0.95,"2021-08-21","2021-07-26",147
"PL","4 wk ahead inc death","quantile",0.975,"2021-08-21","2021-07-26",169
"PL","4 wk ahead inc death","quantile",0.99,"2021-08-21","2021-07-26",187
