"location","target","type","quantile","target_end_date","forecast_date","value"
"GM","1 wk ahead inc death","point",NA,"2021-08-07","2021-08-02",359
"GM","1 wk ahead inc death","quantile",0.01,"2021-08-07","2021-08-02",138
"GM","1 wk ahead inc death","quantile",0.025,"2021-08-07","2021-08-02",160
"GM","1 wk ahead inc death","quantile",0.05,"2021-08-07","2021-08-02",184
"GM","1 wk ahead inc death","quantile",0.1,"2021-08-07","2021-08-02",218
"GM","1 wk ahead inc death","quantile",0.15,"2021-08-07","2021-08-02",239
"GM","1 wk ahead inc death","quantile",0.2,"2021-08-07","2021-08-02",257
"GM","1 wk ahead inc death","quantile",0.25,"2021-08-07","2021-08-02",276
"GM","1 wk ahead inc death","quantile",0.3,"2021-08-07","2021-08-02",292
"GM","1 wk ahead inc death","quantile",0.35,"2021-08-07","2021-08-02",310
"GM","1 wk ahead inc death","quantile",0.4,"2021-08-07","2021-08-02",328
"GM","1 wk ahead inc death","quantile",0.45,"2021-08-07","2021-08-02",343
"GM","1 wk ahead inc death","quantile",0.5,"2021-08-07","2021-08-02",359
"GM","1 wk ahead inc death","quantile",0.55,"2021-08-07","2021-08-02",381
"GM","1 wk ahead inc death","quantile",0.6,"2021-08-07","2021-08-02",400
"GM","1 wk ahead inc death","quantile",0.65,"2021-08-07","2021-08-02",418
"GM","1 wk ahead inc death","quantile",0.7,"2021-08-07","2021-08-02",436
"GM","1 wk ahead inc death","quantile",0.75,"2021-08-07","2021-08-02",462
"GM","1 wk ahead inc death","quantile",0.8,"2021-08-07","2021-08-02",490
"GM","1 wk ahead inc death","quantile",0.85,"2021-08-07","2021-08-02",523
"GM","1 wk ahead inc death","quantile",0.9,"2021-08-07","2021-08-02",566
"GM","1 wk ahead inc death","quantile",0.95,"2021-08-07","2021-08-02",638
"GM","1 wk ahead inc death","quantile",0.975,"2021-08-07","2021-08-02",719
"GM","1 wk ahead inc death","quantile",0.99,"2021-08-07","2021-08-02",836
"GM","2 wk ahead inc death","point",NA,"2021-08-14","2021-08-02",540
"GM","2 wk ahead inc death","quantile",0.01,"2021-08-14","2021-08-02",202
"GM","2 wk ahead inc death","quantile",0.025,"2021-08-14","2021-08-02",240
"GM","2 wk ahead inc death","quantile",0.05,"2021-08-14","2021-08-02",272
"GM","2 wk ahead inc death","quantile",0.1,"2021-08-14","2021-08-02",319
"GM","2 wk ahead inc death","quantile",0.15,"2021-08-14","2021-08-02",352
"GM","2 wk ahead inc death","quantile",0.2,"2021-08-14","2021-08-02",384
"GM","2 wk ahead inc death","quantile",0.25,"2021-08-14","2021-08-02",408
"GM","2 wk ahead inc death","quantile",0.3,"2021-08-14","2021-08-02",432
"GM","2 wk ahead inc death","quantile",0.35,"2021-08-14","2021-08-02",459
"GM","2 wk ahead inc death","quantile",0.4,"2021-08-14","2021-08-02",488
"GM","2 wk ahead inc death","quantile",0.45,"2021-08-14","2021-08-02",513
"GM","2 wk ahead inc death","quantile",0.5,"2021-08-14","2021-08-02",540
"GM","2 wk ahead inc death","quantile",0.55,"2021-08-14","2021-08-02",562
"GM","2 wk ahead inc death","quantile",0.6,"2021-08-14","2021-08-02",590
"GM","2 wk ahead inc death","quantile",0.65,"2021-08-14","2021-08-02",617
"GM","2 wk ahead inc death","quantile",0.7,"2021-08-14","2021-08-02",654
"GM","2 wk ahead inc death","quantile",0.75,"2021-08-14","2021-08-02",696
"GM","2 wk ahead inc death","quantile",0.8,"2021-08-14","2021-08-02",744
"GM","2 wk ahead inc death","quantile",0.85,"2021-08-14","2021-08-02",797
"GM","2 wk ahead inc death","quantile",0.9,"2021-08-14","2021-08-02",898
"GM","2 wk ahead inc death","quantile",0.95,"2021-08-14","2021-08-02",1052
"GM","2 wk ahead inc death","quantile",0.975,"2021-08-14","2021-08-02",1203
"GM","2 wk ahead inc death","quantile",0.99,"2021-08-14","2021-08-02",1375
"GM","3 wk ahead inc death","point",NA,"2021-08-21","2021-08-02",744
"GM","3 wk ahead inc death","quantile",0.01,"2021-08-21","2021-08-02",270
"GM","3 wk ahead inc death","quantile",0.025,"2021-08-21","2021-08-02",308
"GM","3 wk ahead inc death","quantile",0.05,"2021-08-21","2021-08-02",356
"GM","3 wk ahead inc death","quantile",0.1,"2021-08-21","2021-08-02",420
"GM","3 wk ahead inc death","quantile",0.15,"2021-08-21","2021-08-02",472
"GM","3 wk ahead inc death","quantile",0.2,"2021-08-21","2021-08-02",514
"GM","3 wk ahead inc death","quantile",0.25,"2021-08-21","2021-08-02",556
"GM","3 wk ahead inc death","quantile",0.3,"2021-08-21","2021-08-02",592
